#{"t_start": 1780251697.9922214, "env_id": "MujocoUR3PushSimpleEnv"}
r,l,t,is_success
-4.304453,50,2.608769,False
-4.484831,50,3.031241,False
-5.834339,50,3.446355,False
-4.757979,50,3.842995,False
-7.72847,50,4.260284,False
-11.699119,50,4.658659,False
-5.845069,50,5.05289,False
-9.57469,50,5.456436,False
-9.281295,50,5.8667,False
-3.878114,50,6.272944,False
-4.612569,50,6.649412,False
-10.747777,50,7.058744,False
-8.58429,50,7.446455,False
-7.423958,50,7.868233,False
-5.870376,50,8.264353,False
-4.851625,50,8.667583,False
-8.713784,50,9.069032,False
-7.328287,50,9.487517,False
-5.414313,50,9.886336,False
-4.175395,50,10.294064,False
-7.381089,50,10.692721,False
-7.285656,50,11.09903,False
-1.658399,50,11.513819,False
-3.368314,50,11.916883,False
-3.168983,50,12.331111,False
-13.334094,50,12.748204,False
-11.350642,50,13.184604,False
-14.064171,50,13.65629,False
-9.350767,50,14.113439,False
-8.116725,50,14.552965,False
-7.989727,50,14.999468,False
-3.421204,50,15.453179,False
-11.178031,50,15.894903,False
-4.444231,50,16.338518,False
-6.225382,50,16.784446,False
-0.805709,50,17.243173,False
-2.361061,50,17.683382,False
-11.804422,50,18.128219,False
-4.929858,50,18.566556,False
-2.254654,50,19.002947,False
-8.14001,50,21.646217,False
-6.599152,50,22.117623,False
-3.834257,50,22.574188,False
-6.382015,50,23.02731,False
-10.655777,50,23.478273,False
-8.303421,50,23.917729,False
-6.274808,50,24.371671,False
-2.770888,50,24.8274,False
-12.930977,50,25.277079,False
-9.403661,50,25.732845,False
-1.374417,50,26.179177,False
-2.450834,50,26.618344,False
-3.727956,50,27.070505,False
-5.928796,50,27.520003,False
-7.830163,50,27.95958,False
-14.420185,50,28.407878,False
-11.089307,50,28.817672,False
-5.768658,50,29.233352,False
-11.002857,50,29.64202,False
-10.984508,50,30.062477,False
-5.9491,50,30.469694,False
-6.771735,50,30.880172,False
-5.713156,50,31.279676,False
-15.201168,50,31.704654,False
-7.760438,50,32.128029,False
-9.411917,50,32.555117,False
-9.222457,50,32.959529,False
-10.496103,50,33.379698,False
-5.179147,50,33.790708,False
-13.516389,50,34.214093,False
-10.978086,50,34.633443,False
-1.728032,50,35.053941,False
-8.314769,50,35.474852,False
-3.688513,50,35.904409,False
-2.292081,50,36.338217,False
-1.101606,50,36.758193,False
-7.06043,50,37.157792,False
-3.810038,50,37.576993,False
-4.57703,50,37.9782,False
-8.6764,50,38.390455,False
-4.929393,50,38.778919,False
-1.141752,50,40.547884,False
-5.00261,50,40.937953,False
-9.274019,50,41.356339,False
-9.720284,50,41.751539,False
-6.711273,50,42.168409,False
-3.845641,50,42.57378,False
-3.110521,50,43.01496,False
-11.488827,50,43.476568,False
-3.067004,50,43.908185,False
-4.068722,50,44.364885,False
-5.184803,50,44.804782,False
-2.885333,50,45.247176,False
-5.257469,50,45.683118,False
-10.374693,50,46.129327,False
-9.728175,50,46.581206,False
-7.918351,50,47.042907,False
-8.090932,50,47.493671,False
-2.679832,50,47.938474,False
-3.639354,50,48.395418,False
-6.593749,50,86.131416,False
-8.511662,50,86.521544,False
-0.973256,50,86.91199,False
-4.390391,50,87.303931,False
-6.521078,50,87.700725,False
-6.295542,50,88.094793,False
-9.348417,50,88.488161,False
-5.838004,50,88.888922,False
-7.75543,50,89.325224,False
-4.130784,50,89.746318,False
-5.923831,50,90.154238,False
-8.086439,50,90.572412,False
-7.470347,50,90.979216,False
-3.729798,50,91.377684,False
-0.706378,50,91.801444,False
-0.231511,50,92.217973,True
