train/clip_fraction,eval/mean_ep_length,train/policy_gradient_loss,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/std,train/approx_kl,eval/success_rate,time/total_timesteps,train/entropy_loss,eval/mean_reward,train/n_updates,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
0.005718994140625,50.0,-0.00025846558946795994,8.434207916259766,0.00029836159999999996,-0.00019097328186035156,16.830876536294817,0.2,1.0032687187194824,0.0021132857,0.0,20000,-2.846234141010791,-50.0,10,,,,,
0.011956787109375,50.0,-0.0008013273891265271,3.0502192974090576,0.0002967232,0.5178441107273102,10.091183149814606,0.2,0.9947221279144287,0.0028214452,0.0,40000,-2.8370430684648453,-50.0,20,,,,,
0.0271484375,50.0,-0.0018606164181619532,2.599259853363037,0.0002950848,0.7712251394987106,6.809945198008791,0.2,0.9864410161972046,0.0036464375,0.0,60000,-2.817341319192201,-50.0,30,,,,,
0.04178466796875,50.0,-0.0023185911944892724,1.5607115030288696,0.00029344639999999997,0.8931696638464928,4.380619174870662,0.2,0.9778356552124023,0.004839046,0.0,80000,-2.793170406948775,-50.0,40,,,,,
0.116845703125,50.0,-0.00812859066463716,0.6447222232818604,0.0002901696,0.9718287531286478,2.80680869249627,0.2,0.9435571432113647,0.008385899,0.01,100000,-2.725096760317683,-49.87,60,,,,,
0.130364990234375,50.0,-0.007783428721813835,1.6584231853485107,0.0002885312,0.97417495213449,3.213677268719766,0.2,0.9190922975540161,0.014217199,0.01,120000,-2.6873709403909745,-49.5,70,,,,,
,,,,,,,,,,,131072,,,,8,765,-50.0,50.0,171
0.139068603515625,50.0,-0.00715809029279626,0.40225541591644287,0.00028689279999999996,0.979078421369195,2.5941973906592466,0.2,0.8985406160354614,0.010874112,0.01,140000,-2.6288214969448744,-49.48,80,,,,,
0.156280517578125,50.0,-0.007644742984484765,0.7942613363265991,0.0002852544,0.9747639205306768,2.9261789033422247,0.2,0.8652549386024475,0.016059512,0.01,160000,-2.5736466753296554,-49.94,90,,,,,
0.173968505859375,50.0,-0.006122694871010026,0.9105312824249268,0.000283616,0.9622236341238022,4.240000779426191,0.2,0.8371130228042603,0.012826368,0.0,180000,-2.5012470821850004,-50.0,100,,,,,
0.151397705078125,50.0,-0.003182444003323326,0.545424222946167,0.00028033919999999996,0.9814404062926769,1.8158552073407919,0.2,0.7758224010467529,0.011729653,0.0,200000,-2.3407460670918225,-50.0,120,,,,,
0.126324462890625,50.0,-0.002566171614671475,1.0007604360580444,0.00027870079999999995,0.9893538830801845,1.055764449428534,0.2,0.7571204900741577,0.0116663175,0.0,220000,-2.2963092346675693,-50.0,130,,,,,
0.1427001953125,50.0,-0.0011862533921885188,0.15059655904769897,0.0002770624,0.985064891166985,1.3805907725938595,0.2,0.728127121925354,0.013450811,0.01,240000,-2.227764410153031,-49.31,140,,,,,
0.14287109375,50.0,-0.0002411753213891643,0.48253798484802246,0.00027542399999999997,0.9869249332696199,1.1404068509378704,0.2,0.7086466550827026,0.010691923,0.0,260000,-2.1618174858391286,-50.0,150,,,,,
,,,,,,,,,,,262144,,,,16,1567,-50.0,50.0,167
0.1272216796875,50.0,-0.0011558344174773083,0.13035255670547485,0.0002721472,0.9812440816313028,1.6334680117288372,0.2,0.6677817106246948,0.010900913,0.0,280000,-2.0439101171679797,-50.0,170,,,,,
0.109527587890625,50.0,-0.003110376143558824,0.039371099323034286,0.0002705088,0.9916349062696099,0.7020532544091111,0.2,0.6472152471542358,0.010422871,0.0,300000,-1.9901698366273195,-49.8,180,,,,,
0.11934814453125,50.0,-0.0023817478975615815,0.040000319480895996,0.00026887039999999997,0.9919108115136623,0.7560492557808175,0.2,0.6305367946624756,0.011834307,0.01,320000,-1.9349948425311596,-49.49,190,,,,,
