train/approx_kl,train/clip_range,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/loss,eval/mean_reward,train/std,train/n_updates,train/explained_variance,train/entropy_loss,eval/mean_ep_length,eval/success_rate,train/learning_rate,train/clip_fraction
0.0043946095,0.2,1999872,-0.002391825259110192,11.174435088038445,5.3862223625183105,-23.949030321091413,0.7712889909744263,150,0.7622986435890198,-2.325596797466278,95.95,0.05,0.00048033920000000005,0.03774185180664062
0.005881801,0.2,3999744,-0.002073209848094848,21.093887197971345,10.026677131652832,-9.965803791582584,0.621082067489624,300,0.8150026351213455,-1.8902774088084697,68.25,0.5,0.0004606784,0.06519851684570313
0.005992286,0.2,5999616,-0.0012624008271814092,11.891647553443908,5.766969680786133,-7.090246609970928,0.4959348440170288,450,0.8673668950796127,-1.4408607929944992,64.65,0.55,0.0004410176,0.08061676025390625
0.007810082,0.2,7999488,-0.00046151883361744694,6.390826684236527,3.2646148204803467,0.00948517546057701,0.39969944953918457,610,0.8988955244421959,-1.0086235750466586,44.45,0.8,0.00042004608,0.10667724609375
0.009017041,0.2,9999360,0.00011442834547779058,4.055180715024472,1.9088729619979858,-0.540797758474946,0.326801061630249,760,0.9060434475541115,-0.6061560232192278,45.9,0.85,0.00040038528000000003,0.12355804443359375
0.016379781,0.2,11999232,0.0013589479556685546,2.838928370177746,1.4026868343353271,0.3747575391083956,0.2760869264602661,910,0.9073746651411057,-0.2668288752436638,42.25,0.85,0.00038072448,0.13961105346679686
0.01275842,0.2,13999104,0.0018365237072430318,2.0127254985272884,1.0330344438552856,0.8692781444638967,0.23848848044872284,1060,0.9101122468709946,0.027596940845251085,43.3,0.8,0.00036106368,0.14993667602539062
0.012004872,0.2,15998976,0.0015691894910560221,2.2813167445361615,1.1387170553207397,-1.614359364658594,0.2119140326976776,1220,0.9065545797348022,0.2623577520251274,42.1,0.75,0.00034009215999999997,0.14917449951171874
0.014572176,0.2,17998848,0.001844242124207085,1.667613335698843,0.7090383172035217,1.849746173620224,0.18963301181793213,1370,0.9130874574184418,0.48410908579826356,35.6,0.8,0.00032043136,0.15569000244140624
0.014800821,0.2,19998720,0.002373789627199585,1.2957420516759157,0.6065249443054199,-0.486807894334197,0.17267067730426788,1520,0.9109756201505661,0.6680155418813228,51.1,0.7,0.00030077056000000005,0.17222976684570312
0.0144183,0.2,21998592,0.002719009447173448,1.0365288116037845,0.45566892623901367,-7.847863849252462,0.16240361332893372,1670,0.8989343494176865,0.7966983526945114,65.4,0.6,0.00028110976,0.17767333984375
0.014796836,0.2,23998464,0.0021464491528604412,0.8598697029054165,0.4258902668952942,-4.352953863143921,0.15040144324302673,1830,0.9159558415412903,0.949685488268733,53.85,0.6,0.00026013823999999994,0.16153335571289062
0.014140383,0.2,25998336,0.0021517544795642608,0.7349552160128952,0.3782568871974945,-6.965799811854959,0.14059671759605408,1980,0.910523809492588,1.0823717799037695,64.45,0.5,0.00024047743999999999,0.166387939453125
