eval/mean_ep_length,train/value_loss,train/learning_rate,train/std,train/policy_gradient_loss,time/total_timesteps,eval/mean_reward,eval/success_rate,train/explained_variance,train/n_updates,train/clip_fraction,train/clip_range,train/approx_kl,train/loss,train/entropy_loss
100.0,1.2705881405621766,0.00028820352,0.7260900139808655,-0.004856201738948585,1999872,-24.341244466602802,0.0,0.9215466007590294,150,0.06248931884765625,0.2,0.0064000203,0.6527625322341919,-2.205710389465094
100.0,0.7055184215307235,0.00027640703999999995,0.5234797596931458,-0.0019807733940979235,3999744,-23.37533761486411,0.0,0.9523178748786449,300,0.0491668701171875,0.2,0.0052279015,0.2977258265018463,-1.5429930545389652
100.0,1.1996303901076317,0.00026461055999999996,0.4366565942764282,-0.0007576288557174848,5999616,-22.936872251331806,0.0,0.9343007504940033,450,0.0435577392578125,0.2,0.0048467563,0.533595860004425,-1.1620746918022633
100.0,2.6151895850896834,0.00025202764799999995,0.39652299880981445,-0.0005023540114052593,7999488,-23.889236975461245,0.0,0.8872567415237427,610,0.03033447265625,0.2,0.0029206276,1.1972883939743042,-0.9464027639478445
100.0,2.401974930241704,0.000240231168,0.3809310793876648,-0.0003048340005989303,9999360,-23.779724928736687,0.0,0.9116239920258522,760,0.03984222412109375,0.2,0.003978812,1.24922776222229,-0.8455920910462738
100.0,2.9036899872124193,0.000228434688,0.36798083782196045,-0.00024738296669966073,11999232,-21.2894598595798,0.0,0.8974540308117867,910,0.0345550537109375,0.2,0.0040334067,1.501054286956787,-0.7608847845345735
98.85,2.8685090363025667,0.000216638208,0.36686813831329346,-0.000623711668595206,13999104,-21.088708928227426,0.05,0.9061344712972641,1060,0.040067291259765624,0.2,0.00435738,1.4744293689727783,-0.7277369875460863
100.0,2.9545648455619813,0.00020405529599999998,0.3692566156387329,-0.00017837244631664363,15998976,-24.039220550656317,0.0,0.9035178497433662,1220,0.04522247314453125,0.2,0.0046172254,1.4913491010665894,-0.701731289550662
97.65,3.3567946940660476,0.000192258816,0.36928287148475647,-0.00028189577496959826,17998848,-19.5024488940835,0.05,0.8853081986308098,1370,0.035449981689453125,0.2,0.0060824966,1.4968476295471191,-0.6817834109067917
99.95,3.6737547323107718,0.000180462336,0.36793580651283264,-0.0003148177114780992,19998720,-21.560009334608914,0.05,0.8794074654579163,1520,0.03908843994140625,0.2,0.005167218,1.8324027061462402,-0.651950123347342
