train/entropy_loss,train/clip_range,train/learning_rate,train/std,train/clip_fraction,train/approx_kl,train/n_updates,eval/mean_ep_length,time/total_timesteps,train/policy_gradient_loss,eval/mean_reward,train/loss,train/explained_variance,train/value_loss,eval/success_rate
-2.8154329217970373,0.2,0.00028820352,0.9877854585647583,0.040355682373046875,0.0044832914,150,100.0,1999872,-0.0019333298005221877,-21.444970916211606,0.4036685824394226,0.942597184330225,0.8340441584587097,0.0
-2.784037160873413,0.2,0.00027640703999999995,0.9839668273925781,0.022821044921875,0.0027526203,300,100.0,3999744,-0.0011213649528144741,-21.525389229878783,0.21476610004901886,0.9663690775632858,0.48593545323237775,0.0
-2.7901237033307553,0.2,0.00026461055999999996,0.9924443960189819,0.025875091552734375,0.002737803,450,100.0,5999616,-0.0011786769004174858,-20.285038432106376,0.6393994092941284,0.9087291583418846,1.2138254145160317,0.0
-2.8251062005758287,0.2,0.00025202764799999995,1.0143533945083618,0.021504974365234374,0.0026111146,610,96.35,7999488,-0.0007295160705325543,-20.297312136553227,0.874403715133667,0.9295415878295898,1.7195473317056895,0.05
-2.9018373772501946,0.2,0.000240231168,1.053375244140625,0.0250335693359375,0.003381379,760,92.3,9999360,-0.0012110212352126836,-15.205230940319598,0.9715462923049927,0.9463737234473228,1.9697188649326562,0.1
-2.926376698166132,0.2,0.000228434688,1.0632127523422241,0.02305450439453125,0.0029792534,910,98.85,11999232,-0.0008064317653406761,-19.377057750150563,1.2564690113067627,0.9450614042580128,2.6577870666980745,0.05
-2.9472476437687876,0.2,0.000216638208,1.0723154544830322,0.0362945556640625,0.0034813168,1060,93.95,13999104,-0.0010969048915285384,-15.918443234264851,1.4166183471679688,0.9522295258939266,3.0462029673159123,0.1
-2.924077717959881,0.2,0.00020405529599999998,1.0557711124420166,0.038753509521484375,0.0049074516,1220,93.0,15998976,-0.001960688040344394,-16.28924256172031,1.8634448051452637,0.9488397762179375,3.8647837325930596,0.15
-2.873339457809925,0.2,0.000192258816,1.026977300643921,0.0371978759765625,0.0045440723,1370,95.05,17998848,-0.0017175855267851149,-15.80205528717488,2.210211992263794,0.9392658807337284,4.85763196349144,0.2
-2.854837490618229,0.2,0.000180462336,1.0182673931121826,0.03907318115234375,0.0045644827,1520,89.15,19998720,-0.0015029591255370177,-13.874444935843348,1.7199703454971313,0.9441672898828983,3.611000728607178,0.2
-3.2432321436703204,0.2,0.00016866585599999997,1.2422475814819336,0.03195266723632813,0.0033478504,1670,93.55,21998592,0.0002935928641818464,-16.76169518008828,865.0319213867188,0.15044158697128296,1722.5374490387737,0.2
-3.8570297032594683,0.2,0.00015608294399999996,1.6942405700683594,0.029895782470703125,0.0020914117,1830,97.8,23998464,-8.082923159236088e-05,-18.851183050125837,320.6219177246094,0.20002204179763794,1762.3716306880117,0.25
-4.438882397115231,0.2,0.00014428646399999997,2.262014389038086,0.01573638916015625,0.002233651,1980,94.7,25998336,-0.0010428432906337548,-19.991689507476984,547.3572998046875,0.24217373132705688,1701.9821765288712,0.1
-4.869567729532719,0.2,0.00013248998399999998,2.7937471866607666,0.01350250244140625,0.0016180882,2130,99.45,27998208,-0.00040844520444807133,-21.71977940015495,1357.5335693359375,0.28099727630615234,1699.2285651251673,0.05
-5.258342052996158,0.2,0.00012069350399999997,3.40494966506958,0.0047576904296875,0.0011373563,2280,100.0,29998080,9.796830272534863e-06,-21.525264352932574,854.5560913085938,0.31389564275741577,1661.9806151896714,0.0
-5.659314686059952,0.2,0.000108110592,4.136940956115723,0.002036285400390625,0.001215089,2440,93.2,31997952,-0.00024590772263763936,-18.12127879988402,1354.4515380859375,0.33864277601242065,1638.1228992283345,0.15
-6.029983101785183,0.2,9.631411199999997e-05,5.005735397338867,0.004500579833984375,0.0011165899,2590,96.2,33997824,-0.00044059736574126874,-18.4949974719435,466.99444580078125,0.3586864471435547,1714.8143149659038,0.05
-6.343043304979801,0.2,8.451763199999999e-05,5.884189128875732,0.002687835693359375,0.0011206861,2740,88.2,35997696,-0.00017475329987064469,-18.422588790766895,733.3052978515625,0.38318026065826416,1642.6517641574144,0.15
